Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year,Type
Multiverse-Portals,git://github.com/Multiverse/Multiverse-Portals.git,14.0,270,464,0,4,41,455,77,69,19,Java,2019,SE
HunchWorks,git://github.com/global-pulse/HunchWorks.git,12.0,831,63,0,0,31,47,38,9,9,Python,2012,SE
MobArena,git://github.com/garbagemule/MobArena.git,14.0,875,424,4,16,67,444,121,133,26,Java,2019,SE
alogger,git://github.com/siberian-fast-food/alogger.git,9.0,315,17,0,15,19,172,49,16,5,Erlang,2014,SE
paperclip_database,git://github.com/softace/paperclip_database.git,8.0,136,8,0,20,7,409,22,39,5,Ruby,2019,SE
puppet-cron,git://github.com/torrancew/puppet-cron.git,8.0,102,16,0,5,3,221,40,52,3,Puppet,2016,SE
akka-samples,git://github.com/akka/akka-samples.git,14.0,200,22,0,0,25,450,561,309,48,Scala,2019,SE
simplehttp,git://github.com/bitly/simplehttp.git,10.0,370,13,0,1,11,140,487,74,109,C,2013,SE
hamlbars,git://github.com/jamesotron/hamlbars.git,12.0,118,33,0,6,10,143,182,42,8,Ruby,2014,SE
mongoose-auth,git://github.com/bnoguchi/mongoose-auth.git,10.0,105,51,0,10,45,50,759,125,23,JavaScript,2012,SE
Fill-Column-Indicator,git://github.com/alpaker/Fill-Column-Indicator.git,10.0,148,40,0,8,36,448,196,27,12,Emacs Lisp,2019,SE
BKCommonLib,git://github.com/bergerkiller/BKCommonLib.git,8.0,632,9,0,0,18,309,36,46,25,Java,2018,SE
Dime,git://github.com/phpugl/Dime.git,14.0,368,63,0,13,17,244,33,17,4,PHP,2016,SE
IbPy,git://github.com/blampe/IbPy.git,14.0,245,0,1,2,0,277,1012,429,192,Python,2017,SE
KeenClient-iOS,git://github.com/keenlabs/KeenClient-iOS.git,22.0,686,81,5,48,24,282,81,54,37,C,2017,SE
fb-contrib,git://github.com/mebigfatguy/fb-contrib.git,23.0,3594,219,0,45,35,438,106,34,18,Java,2019,SE
adaptagrams,git://github.com/mjwybrow/adaptagrams.git,19.0,1207,4,0,0,18,445,136,38,22,C++,2019,SE
gnome-shell-extension-weather,git://github.com/simon04/gnome-shell-extension-weather.git,22.0,242,52,0,0,25,85,146,324,8,JavaScript,2012,SE
tool,git://github.com/wsexport/tool.git,19.0,458,79,0,0,41,418,40,21,9,PHP,2019,SE
JSONassert,git://github.com/skyscreamer/JSONassert.git,20.0,207,30,6,11,37,267,678,142,49,Java,2017,SE
elementary,git://github.com/pimvullers/elementary.git,23.0,1146,119,0,0,26,299,102,32,20,Shell,2017,SE
